CONTROL	GUT	IMMMUNE
SOWAHA	86	2466	10084
SP100	1804	2670	1240
SP110	1511	3062	723
SP140	7207	2415	1179
SP140L	4953	3087	3193
SPACA4	16754.5	5942	14940
SPATA2	1986	5427	4042
SPATA25	6570	8330	5357
SPHK2	3699	5777	4628
SPINK8	9526	8370	5755
SPIRE1	1161	4162	4706
SPNS1	1135	1293	1711
SPRED2	2583	4700	4317
SPRY4	813	3598	3354
SRCAP	2352	2712	3136
SRMS	11639	9859	12284
SSR2	388	264	213
STAC2	161	6155	12554
STARD3	671	1119	1011
STAT1	228	445	116
STAT3	189	275	308
STAT4	1806	5081	1164
STAT5A	451	1755	1070
STAT5B	380	882	269
STK11	651	1756	577
STMN3	83	1242	869
STRN4	1235	1171	964
STX1B	196	10241	5252
STX4	1117	1834	947
SULT1A1	1345	546	312
SULT1A2	9719	1144	1295
SULT2B1	4811	151	14066
SYNGR1	65	2182	5468
SYNPO	109	270	1676
SYT11	138	3075	2732
TAB1	2340	3072	3642
TAGAP	3079	3110	605
TANGO6	4554	8543	5711
TBC1D10A	5048	4568	4404
TBC1D10B	1124	2266	745
TCAP	20	32	121
TCP10L2	19725	21395	16024
TCTA	724	1233	788
TFAM	4707	6221	2474
THADA	4595	9075	4044
THBS3	1558	1057	2612
THEMIS	8366	10694	3795
THOC5	3426	2932	1506
THRA	244	1258	5349
TM9SF2	824	523	485
TMA7	82	222	159
TMCO4	2099	3180	4331
TMEM109	397	437	896
TMEM115	1203	1082	1162
TMEM132A	1293	1042	7733
TMEM171	7529	538	2663
TMEM174	22160	21497	21316
TMEM191C	5496	12644	11071
TMEM25	1400	2223	2044
TMEM259	248	226	250
TMEM89	9450	10869	7545
TNFAIP3	360	783	247
TNFRSF14	522	427	291
TNFRSF9	10765	15379.5	4710
TNFSF15	11441.5	5653	5304
TNFSF8	8974	7180	1831
TNIP1	341	455	180
TNP2	18723	21404	17017.5
TNPO3	1974	2469	1387
TPPP	335	3468	10524
TRAF3IP2	2299	3572	5216
TRAIP	5791	8117	5159
TREH	10903	1401	6112
TRIM46	2867	9832	7484
TRIM72	531	13808	8962
TRPM2	3142	8055	1464
TSPAN33	1214	2213	211
TTC33	2393	6324	4685
TTC34	11210	19940	14168
TTC36	2837	10467	283
TTPAL	3055	4853	1324
TUBG1	710	921	451
TUBG2	269	918	2410
TUFM	256	232	340
TUSC2	954	1988	1885
TYK2	1403	857	567
UBA7	768	414	464
UBAC2	1545	1764	2866
UBE2D1	424	1869	524
UBE2L3	812	818	1067
UBE2V1	8349	10651	7761
UBLCP1	1280	2443	1260
UBQLN4	990	1414	1890
UCN2	9925	17237.5	37533.5
UGT1A10	18823.5	1212	17273
UGT1A8	18801.5	3399	18762.5
UGT1A9	14980	12385	374
UPK2	7044	5193	5732
UQCR10	172	236	691
UQCRC1	78	91	416
UQCRQ	89	91	125
USP19	871	1898	2398
USP34	1740	2827	2372
USP4	3145	3288	1085
USP40	4029	4146	4043
UTS2	2371	13823	3746
VAMP3	264	819	595
VKORC1	12851	14183	10019
VPRBP	1946	4895	3512
VPS25	1602	803	936
WDR6	312	346	530
WISP2	59	120	5878
WNK4	8185	1582	12808
XPO1	504	1225	994
XPO6	1158	1311	76
YDJC	2465	1993	1578
YPEL1	1181	5483	5461
YY1AP1	537	930	359
ZBTB40	2071	2771	3239
ZBTB46	1963	8284	2644
ZBTB7B	1367	543	545
ZCCHC24	228	446	1516
ZFP36L1	106	133	99
ZFP36L2	123	152	231
ZFP90	3011	7689	5442
ZGLP1	1505	5371	3665
ZGPAT	1830	2349	1931
ZMAT5	1993	1388	1179
ZMIZ1	1586	1459	1616
ZMYND10	1405	12955	6638
ZNF300	4122	6522	9510
ZNF335	3703	4280	2606
ZNF365	1549	3599	12553
ZNF48	4880	5128	5285
ZNF629	3064	4576	7911
ZNF646	7809	10868.5	5166
ZNF668	8971	10325	4811
ZNF688	4310	4667	3687
ZNF689	6345	8163	7789
ZNF764	6069	5005	5943
ZNF768	1990	3717	5093
ZNF771	3748	8754	5864
ZNF785	6303	7780	7156
ZPBP2	18064	20008	9707
